Headliner,Tour Name,Support,Date,Venue,City,State,Country,Source URL
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/8/2026,Wembley Stadium,London,,United Kingdom,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/10/2026,Wembley Stadium,London,,United Kingdom,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,7/11/2026,Wembley Stadium,London,,United Kingdom,https://www.mychemicalromance.com
Simple Plan,Bigger than you think! Europe/UK Tour,None (without Neck Deep),10/3/2026,TBA,London,,United Kingdom,https://www.officialsimpleplan.com
Simple Plan,Bigger than you think! Europe/UK Tour,None (without Neck Deep),10/2/2026,TBA,Manchester,,United Kingdom,https://www.officialsimpleplan.com
State Champs,Slam Dunk Festival South,Festival (various artists),5/23/2026,Slam Dunk Festival South,Hatfield,,United Kingdom,https://statechamps.band/pages/tour
State Champs,Slam Dunk Festival North,Festival (various artists),5/24/2026,Slam Dunk Festival North,Leeds,,United Kingdom,https://statechamps.band/pages/tour
Bad Omens,Do You Feel Love Tour,,10/14/2026,Download Festival 2026,Castle Donington,,United Kingdom,https://www.badomensofficial.com
Boys Like Girls,,,7/13/2026,O2 Academy Bristol,Bristol,,United Kingdom,https://www.boyslikegirls.com
Boys Like Girls,,,7/18/2026,O2 Academy Brixton,London,,United Kingdom,https://www.boyslikegirls.com
Boys Like Girls,,,7/17/2026,Manchester Academy,Manchester,,United Kingdom,https://www.boyslikegirls.com
The Wonder Years,,,1/16/2026,Albert Hall,Manchester,,United Kingdom,https://thewonderyearsband.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/11/2026,First Security Amphitheater,North Little Rock,Arkansas,United States,https://www.evanescence.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/27/2026,Talking Stick Resort Amphitheatre,Phoenix,Arizona,United States,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/24/2026,Desert Diamond Arena,Glendale,Arizona,United States,https://www.badomensofficial.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/29/2026,Marquee Theatre,Tempe,Arizona,United States,https://www.boyslikegirls.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/15/2026,Footprint Center,Phoenix,Arizona,United States,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/5/2026,The Van Buren,Phoenix,Arizona,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
My Chemical Romance,The Black Parade 2026 Stadium Tour,Jimmy Eat World,9/6/2026,Chase Field,Phoenix,Arizona,United States,https://www.mychemicalromance.com
The Maine,I Love You But I Chose The Maine 2026 Tour,,3/25/2026,The Van Buren,Phoenix,Arizona,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/18/2026,Nile Theater,Mesa,Arizona,United States,https://thewonderyearsband.com
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/26/2026,Kia Forum,Inglewood,California,United States,https://www.badomensofficial.com
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/27/2026,Oakland Arena,Oakland,California,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/20/2026,Hollywood Palladium,Los Angeles,California,United States,https://www.bilmuri.com/tour
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/21/2026,SOMA,San Diego,California,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/1/2026,House of Blues Anaheim,Anaheim,California,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/3/2026,House of Blues Anaheim,Anaheim,California,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/5/2026,Hard Rock Live Sacramento,Wheatland,California,United States,https://www.boyslikegirls.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/17/2026,North Island Credit Union Amphitheatre,Chula Vista,California,United States,https://www.evanescence.com
Evanescence,2026 World Tour,Poppy; K.Flay,7/18/2026,Shoreline Amphitheatre,Mountain View,California,United States,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/12/2026,The Wiltern,Los Angeles,California,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/13/2026,The Wiltern,Los Angeles,California,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/15/2026,The Wiltern,Los Angeles,California,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/7/2026,Fox Theater,Oakland,California,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/9/2026,Fox Theater,Oakland,California,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,5/10/2026,Fox Theater,Oakland,California,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hot Mulligan,Coachella,Festival (various artists),4/10/2026,Empire Polo Field (Coachella),Indio,California,United States,https://link.seated.com/0e0c8201-38c9-4d6f-bf92-7d9677f008ed
My Chemical Romance,The Black Parade 2026 Stadium Tour,,10/21/2026,Hollywood Bowl,Hollywood,California,United States,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,10/23/2026,Hollywood Bowl,Hollywood,California,United States,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,10/24/2026,Hollywood Bowl,Hollywood,California,United States,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,10/30/2026,Hollywood Bowl,Hollywood,California,United States,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,10/31/2026,Hollywood Bowl,Hollywood,California,United States,https://www.mychemicalromance.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,Babymetal,8/30/2026,Petco Park,San Diego,California,United States,https://www.mychemicalromance.com
State Champs,,Honey Revenge; Origami Angel; Just Friends,2/6/2026,The Wiltern,Los Angeles,California,United States,https://statechamps.band/pages/tour
The Maine,I Love You But I Chose The Maine 2026 Tour,,3/28/2026,The Novo,Los Angeles,California,United States,https://www.themaineband.com/
The Maine,I Love You But I Chose The Maine 2026 Tour,,3/27/2026,The Observatory North Park,San Diego,California,United States,https://www.themaineband.com/
The Maine,I Love You But I Chose The Maine 2026 Tour,,3/29/2026,The Regency Ballroom,San Francisco,California,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/20/2026,House of Blues Anaheim,Anaheim,California,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/22/2026,The UC Theatre,Berkeley,California,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/21/2026,Belasco Theater,Los Angeles,California,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/19/2026,The Observatory North Park,San Diego,California,United States,https://thewonderyearsband.com
Avenged Sevenfold,,Mr. Bungle,1/24/2026,Estadio Bicentenario de La Florida,Santiago,CL,United States,https://www.avengedsevenfold.com/tour
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/23/2026,Ball Arena,Denver,Colorado,United States,https://www.avengedsevenfold.com/tour
Avenged Sevenfold,,,1/20/2026,Movistar Arena,Bogotá,Colorado,United States,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,2/24/2026,Ball Arena,Denver,Colorado,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,4/17/2026,Fillmore Auditorium,Denver,Colorado,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,3/21/2026,Fillmore Auditorium,Denver,Colorado,United States,https://www.boyslikegirls.com
Evanescence,2026 World Tour,K.Flay,10/26/2026,Red Rocks Amphitheatre,Morrison,Colorado,United States,https://www.evanescence.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,The Breeders,8/27/2026,Coors Field,Denver,Colorado,United States,https://www.mychemicalromance.com
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/3/2026,Ogden Theatre,Denver,Colorado,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Initiate,3/29/2026,Ogden Theatre,Denver,Colorado,United States,https://thewonderyearsband.com
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/19/2026,9:30 Club,Washington,D.C.,United States,https://www.themaineband.com/
My Chemical Romance,The Black Parade 2026 Stadium Tour,Modest Most,8/18/2026,Nationals Park,Washington,D.C.,United States,https://www.mychemicalromance.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/18/2026,MidFlorida Credit Union Amphitheatre,Tampa,Florida,United States,https://www.avengedsevenfold.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/23/2026,Hard Rock Live Orlando,Orlando,Florida,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/22/2026,Seminole Hard Rock Tampa Event Center,Tampa,Florida,United States,https://www.boyslikegirls.com
Bring Me The Horizon,Welcome To Rockville Festival,Motionless In White; The Plot In You; Amira Elfeky,5/9/2026,Welcome To Rockville Festival,Daytona Beach,Florida,United States,https://www.bmthofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,6/12/2026,MidFlorida Credit Union Amphitheatre,Tampa,Florida,United States,https://www.evanescence.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,6/11/2026,iTHINK Financial Amphitheatre,West Palm Beach,Florida,United States,https://www.evanescence.com
Hot Mulligan,Emo’s Not Dead Cruise,Various festival / cruise lineup,1/22/2026,Emo’s Not Dead Cruise,Miami,Florida,United States,https://emosnotdeadcruise.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,5/10/2026,Daytona International Speedway,Daytona Beach,Florida,United States,https://www.mychemicalromance.com
State Champs,Welcome To Rockville Festival,Festival (various artists),5/7/2026,Daytona International Speedway,Daytona Beach,Florida,United States,https://welcometorockville.com
State Champs,Emo’s Not Dead Cruise,,Jan 22–26 2026,Emo’s Not Dead Cruise,Miami,Florida,United States,https://emosnotdeadcruise.com
The Maine,I Love You But I Chose The Maine 2026 Tour,,Feb 28 2026 - Mar 4 2026,Norwegian Cruise Line - Cruise Terminal B,Miami,Florida,United States,https://www.themaineband.com/
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/26/2026,House of Blues Orlando,Orlando,Florida,United States,https://www.themaineband.com/
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/28/2026,Jannus Live,St. Petersburg,Florida,United States,https://www.themaineband.com/
The Wonder Years,Welcome To Rockville Festival,Festival (various artists),5/7/2026,Daytona International Speedway,Daytona Beach,Florida,United States,https://thewonderyearsband.com
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Equipment,3/8/2026,House of Blues Orlando,Lake Buena Vista,Florida,United States,https://thewonderyearsband.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,5/5/2026,Coca-Cola Roxy,Atlanta,Georgia,United States,https://www.bilmuri.com/tour
Evanescence,2026 World Tour,Spiritbox; Nova Twins,6/14/2026,Ameris Bank Amphitheatre,Alpharetta,Georgia,United States,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,3/28/2026,Tabernacle,Atlanta,Georgia,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,3/29/2026,Tabernacle,Atlanta,Georgia,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/25/2026,The Masquerade,Atlanta,Georgia,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Equipment,3/10/2026,The Masquerade (Heaven),Atlanta,Georgia,United States,https://thewonderyearsband.com
Pierce the Veil,I Can’t Hear You World Tour 2026,,4/21/2026,Neal S. Blaisdell Center,Honolulu,Hawaii,United States,https://piercetheveil.net
Pierce the Veil,I Can’t Hear You World Tour 2026,,4/22/2026,Neal S. Blaisdell Center,Honolulu,Hawaii,United States,https://piercetheveil.net
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,5/9/2026,Revolution Concert House & Event Center,Garden City,Idaho,United States,https://www.boyslikegirls.com
The Wonder Years,Treefort Music Fest,Festival (various artists),25–29-Mar-26,Treefort Music Fest,Boise,Idaho,United States,https://thewonderyearsband.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/29/2026,National Stadium,Dublin,IE,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,6/30/2026,National Stadium,Dublin,IE,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hot Mulligan,The Sound a Body Makes When It’s Still Tour 2026,Delta Sleep,3/15/2026,The Academy,Dublin,IE,United States,https://hotmulligan.band
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,7/30/2026,Credit Union 1 Amphitheatre,Tinley Park,Illinois,United States,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/4/2026,Allstate Arena,Rosemont,Illinois,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,5/1/2026,Byline Bank Aragon Ballroom,Chicago,Illinois,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,3/27/2026,Byline Bank Aragon Ballroom,Chicago,Illinois,United States,https://www.boyslikegirls.com
Bring Me The Horizon,North American Ascension Program 2 Tour,Motionless In White; The Plot In You; Amira Elfeky,5/15/2026,Allstate Arena,Rosemont,Illinois,United States,https://www.bmthofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,7/8/2026,Credit Union 1 Amphitheatre,Tinley Park,Illinois,United States,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/21/2026,Byline Bank Aragon Ballroom,Chicago,Illinois,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/22/2026,Byline Bank Aragon Ballroom,Chicago,Illinois,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
State Champs,Around the World and Back — 10 Yr Anniversary,Real Friends; Harrison Gordon; Driveways,1/9/2026,The Salt Shed,Chicago,Illinois,United States,https://statechamps.band/pages/tour
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/10/2026,The Salt Shed,Chicago,Illinois,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Weakened Friends,4/2/2026,Riviera Theatre,Chicago,Illinois,United States,https://thewonderyearsband.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,7/9/2026,Ruoff Music Center,Noblesville,Indiana,United States,https://www.evanescence.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,,9/18/2026,Highland Festival Grounds at Kentucky Exposition Center,Louisville,Kentucky,United States,https://www.mychemicalromance.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/12/2026,Xfinity Center,Mansfield,Massachusetts,United States,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/11/2026,TD Garden,Boston,Massachusetts,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,5/17/2026,MGM Music Hall at Fenway,Boston,Massachusetts,United States,https://www.bilmuri.com/tour
Bring Me The Horizon,North American Ascension Program 2 Tour,Motionless In White; The Plot In You; Amira Elfeky,5/1/2026,DCU Center,Worcester,Massachusetts,United States,https://www.bmthofficial.com
Evanescence,2026 World Tour,Spiritbox; Nova Twins,6/21/2026,Xfinity Center,Mansfield,Massachusetts,United States,https://www.evanescence.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/3/2026,Citizens House of Blues,Boston,Massachusetts,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/4/2026,Citizens House of Blues,Boston,Massachusetts,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
State Champs,Around the World and Back — 10 Yr Anniversary,Cartel; Real Friends; Broadside,1/17/2026,House Of Blues,Boston,Massachusetts,United States,https://statechamps.band/pages/tour
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/18/2026,Citizens House of Blues Boston,Boston,Massachusetts,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Weakened Friends,4/8/2026,Citizens House of Blues Boston,Boston,Massachusetts,United States,https://thewonderyearsband.com
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,3/14/2026,CFG Bank Arena,Baltimore,Maryland,United States,https://www.badomensofficial.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/10/2026,The Fillmore Silver Spring,Silver Spring,Maryland,United States,https://www.boyslikegirls.com
Bring Me The Horizon,North American Ascension Program 2 Tour,Motionless In White; The Plot In You; Amira Elfeky,5/4/2026,CFG Bank Arena,Baltimore,Maryland,United States,https://www.bmthofficial.com
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/14/2026,The Lyric,Baltimore,Maryland,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
Hayley Williams,Good Dye Young Presents: Hayley Williams At A Bachelorette Party 2026,Water From Your Eyes,4/15/2026,The Fillmore,Silver Spring,Maryland,United States,https://www.ticketmaster.com/hayley-williams-tickets/artist/2733627
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Equipment,3/5/2026,The Fillmore Silver Spring,Silver Spring,Maryland,United States,https://thewonderyearsband.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,8/4/2026,Pine Knob Music Theatre,Clarkston,Michigan,United States,https://www.avengedsevenfold.com/tour
Bad Omens,Do You Feel Love North America Tour,Beartooth; President,2/28/2026,Little Caesars Arena,Detroit,Michigan,United States,https://www.badomensofficial.com
Bilmuri,Kinda Hard Tour 2026,The Home Team; GANG!,5/3/2026,The Fillmore Detroit,Detroit,Michigan,United States,https://www.bilmuri.com/tour
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,4/6/2026,The Fillmore Detroit,Detroit,Michigan,United States,https://www.boyslikegirls.com
Boys Like Girls,The Soundtrack Of Your Life Tour 2026,I Dont Know How But They Found Me; Arrows In Action,3/28/2026,GLC Live at 20 Monroe,Grand Rapids,Michigan,United States,https://www.boyslikegirls.com
Evanescence,2026 World Tour,Poppy; K.Flay,8/2/2026,Pine Knob Music Theatre,Clarkston,Michigan,United States,https://www.evanescence.com
Hot Mulligan,Excellency Music Festival,Festival (various artists),4/4/2026,Historic Masonic Temple,Bay City,Michigan,United States,https://excellencymusicfestival.com
My Chemical Romance,The Black Parade 2026 Stadium Tour,Iggy Pop,8/21/2026,Comerica Park,Detroit,Michigan,United States,https://www.mychemicalromance.com
State Champs,Around the World and Back — 10 Yr Anniversary,Real Friends; Driveways; Summerbruise,1/10/2026,The Majestic Theatre,Detroit,Michigan,United States,https://statechamps.band/pages/tour
The Maine,I Love You But I Chose The Maine 2026 Tour,,4/11/2026,Masonic Temple,Detroit,Michigan,United States,https://www.themaineband.com/
The Wonder Years,No Closer to Heaven Tour,Knuckle Puck; Weakened Friends,4/3/2026,Saint Andrew’s Hall,Detroit,Michigan,United States,https://thewonderyearsband.com
Avenged Sevenfold,Co‑Headlining Summer 2026 Tour,Good Charlotte,7/27/2026,Mystic Lake Amphitheater,Shakopee,Minnesota,United States,https://www.avengedsevenfold.com/tour
